book_id,video_id,first_frame,last_frame,num_observations,best_crop_path,best_score,best_quality_crop_path,best_quality_score,status,count_as_book,boundary,segment_ids,mean_shelf_center_x,mean_width,mean_height
000_book_0256,000,104,113,10,crops/000104_014.jpg,0.8974,crops/000104_014.jpg,0.7403,confirmed,1,0,0,7209.6911,60.0000,407.6000
000_book_0257,000,98,112,15,crops/000102_014.jpg,0.9240,crops/000099_015.jpg,0.9381,confirmed,1,0,0,7227.0359,48.8667,422.4667
000_book_0258,000,102,103,2,crops/000102_015.jpg,0.9059,crops/000103_015.jpg,0.7500,confirmed,1,0,0,7235.0145,26.0000,423.0000
000_book_0259,000,112,114,3,crops/000113_004.jpg,0.7610,crops/000112_008.jpg,0.6883,confirmed,1,0,0,7245.3812,78.6667,346.3333
000_book_0260,000,103,114,12,crops/000107_016.jpg,0.8918,crops/000112_010.jpg,0.7452,confirmed,1,0,0,7253.2532,52.0000,412.9167
000_book_0261,000,98,102,5,crops/000101_015.jpg,0.9116,crops/000099_016.jpg,0.9560,confirmed,1,0,0,7253.9843,59.0000,442.0000
000_book_0262,000,98,114,17,crops/000101_016.jpg,0.9078,crops/000099_017.jpg,0.9578,confirmed,1,0,0,7269.1447,53.6471,422.1176
000_book_0263,000,105,114,10,crops/000107_018.jpg,0.8576,crops/000105_018.jpg,0.7684,confirmed,1,0,0,7287.7024,52.1000,416.6000
000_book_0264,000,98,114,17,crops/000108_019.jpg,0.9100,crops/000099_018.jpg,0.9713,confirmed,1,0,0,7301.2624,55.4118,427.4118
000_book_0265,000,98,104,7,crops/000102_019.jpg,0.9073,crops/000099_019.jpg,0.9637,confirmed,1,0,0,7308.0623,55.5714,426.5714
000_book_0266,000,99,114,15,crops/000101_019.jpg,0.8973,crops/000099_020.jpg,0.9634,confirmed,1,0,0,7332.3329,59.6667,427.6667
000_book_0267,000,111,115,5,crops/000111_018.jpg,0.8735,crops/000112_015.jpg,0.7677,confirmed,1,0,0,7351.7318,75.6000,403.2000
000_book_0268,000,113,115,3,crops/000114_008.jpg,0.8370,crops/000113_009.jpg,0.7077,confirmed,1,0,0,7352.3771,85.0000,414.3333
000_book_0269,000,99,118,20,crops/000107_021.jpg,0.9065,crops/000100_020.jpg,0.7770,confirmed,1,0,0,7373.2929,65.7500,429.6500
000_book_0270,000,118,118,1,crops/000118_002.jpg,0.7098,crops/000118_002.jpg,0.2982,boundary,0,1,0,7383.0321,54.0000,403.0000
000_book_0271,000,116,117,2,crops/000117_002.jpg,0.5548,crops/000117_002.jpg,0.1631,boundary,1,1,0,7391.2068,50.5000,294.5000
