video_id,deva_frame_index,source_frame_index,time_sec,frame_path,has_maskdino_hypotheses
000,105,525,17.50,deva_frames/000105.jpg,0
000,106,530,17.67,deva_frames/000106.jpg,1
000,107,535,17.83,deva_frames/000107.jpg,0
000,108,540,18.00,deva_frames/000108.jpg,1
000,109,545,18.17,deva_frames/000109.jpg,0
000,110,550,18.33,deva_frames/000110.jpg,1
000,111,555,18.50,deva_frames/000111.jpg,0
000,112,560,18.67,deva_frames/000112.jpg,1
000,113,565,18.83,deva_frames/000113.jpg,0
000,114,570,19.00,deva_frames/000114.jpg,1
000,115,575,19.17,deva_frames/000115.jpg,0
000,116,580,19.33,deva_frames/000116.jpg,1
000,117,585,19.50,deva_frames/000117.jpg,0
000,118,590,19.67,deva_frames/000118.jpg,1
